championship_id;team;player;games;w;l;wr;k;d;a;kda;cs;csm;gold;gm;dmg;dmgm;kpar;ks;gs;cp;champs
LLA/2020_Season/Opening_Season;Furious Gaming;Xypherz;12;2;10;16.7%;1.17;2.5;4.42;2.23;166.67;4.44;10.1;269;-;-;68.4%;14.3%;16.7%;5;['Lee Sin', 'Jarvan IV', 'Trundle']
LLA/2020_Season/Opening_Season;Furious Gaming;Zelt;10;2;8;20%;1.9;2.6;3.4;2.04;262.3;6.85;12.8;335;-;-;63.1%;22.6%;20.7%;8;['Aatrox', 'Sett', 'Gangplank']
LLA/2020_Season/Opening_Season;Furious Gaming;Zerito;6;0;6;0%;2.67;3.83;4.5;1.87;317.33;8.02;14.5;366;-;-;65.2%;24.2%;22.4%;5;['Renekton', 'Irelia', 'Ornn']
LLA/2020_Season/Opening_Season;Furious Gaming;Zeicro;2;0;2;0%;3.5;3;7.5;3.67;382.5;9;17.1;401;-;-;84.6%;26.9%;24.1%;2;['Aphelios', 'Miss Fortune']
LLA/2020_Season/Opening_Season;INFINITY;Cotopaco;18;13;5;72.2%;2.83;1.72;4.72;4.39;261.11;7.54;12.5;361;-;-;61.3%;23%;20.5%;7;['Syndra', 'LeBlanc', 'Rumble']
LLA/2020_Season/Opening_Season;INFINITY;Genthix;18;13;5;72.2%;0.78;1.67;7.67;5.07;39.83;1.15;8.2;238;-;-;68.5%;6.3%;13.5%;6;['Leona', 'Nautilus', 'Tahm Kench']
LLA/2020_Season/Opening_Season;INFINITY;SolidSnake;18;13;5;72.2%;1.78;1.67;6.5;4.97;163.78;4.73;10.4;300;-;-;67.1%;14.4%;17.1%;7;['Jarvan IV', 'Lee Sin', 'Gragas']
LLA/2020_Season/Opening_Season;INFINITY;Straight;18;13;5;72.2%;1.61;1.33;5.5;5.33;296.94;8.57;13.7;396;-;-;57.7%;13.1%;22.5%;10;['Aatrox', 'Sett', 'Ornn']
LLA/2020_Season/Opening_Season;INFINITY;Whitelotus;18;13;5;72.2%;5.33;1.33;4.22;7.17;354.94;10.24;16.1;464;-;-;77.5%;43.2%;26.4%;8;['Kalista', 'Aphelios', 'Miss Fortune']
LLA/2020_Season/Opening_Season;Isurus;Jirall;18;12;6;66.7%;1.94;1.56;4.83;4.36;273.28;7.57;13.4;372;-;-;55%;15.8%;21.1%;7;['Ornn', 'Sett', 'Aatrox']
LLA/2020_Season/Opening_Season;Isurus;Oddie;18;12;6;66.7%;2.39;2.39;6.78;3.84;191.83;5.31;11.6;322;-;-;74.3%;19.4%;18.2%;9;['Lee Sin', 'Gragas', 'Trundle']
LLA/2020_Season/Opening_Season;Isurus;Seiya;18;12;6;66.7%;3.61;1;4.61;8.22;308.39;8.54;14.4;398;-;-;66.7%;29.3%;22.5%;11;['LeBlanc', 'Azir', 'Syndra']
LLA/2020_Season/Opening_Season;Isurus;Slow;18;12;6;66.7%;0.67;1.61;9;6;35.44;0.98;8.5;235;-;-;78.4%;5.4%;13.3%;11;['Thresh', 'Yuumi', 'Nautilus']
LLA/2020_Season/Opening_Season;Isurus;Warangelus;18;12;6;66.7%;3.72;1.06;4.72;8;345;9.56;15.8;439;-;-;68.5%;30.2%;24.8%;11;['Miss Fortune', 'Aphelios', 'Varus']
